angle,max_altitude,landing_x
5.0,3.3175063653927306,129.9108642641541
6.0,4.644490075055461,149.2128402249254
7.0,6.161893609866414,167.3263307784881
8.0,7.855001194291045,184.36084119099093
9.0,9.699952872023232,195.01600609359275
10.0,11.691214528210455,210.42246530729224
11.0,13.838244441570133,224.96484451407395
12.0,16.112855267306927,233.97691303801273
13.0,18.50860817261811,247.17761152735468
14.0,21.01925886316975,259.6562744728672
15.0,23.638743257156428,267.265821398112
16.0,26.36116429317847,274.5279640489611
17.0,29.180779754781074,285.4008176508576
18.0,32.091991008105666,291.87910883046425
19.0,35.0893325608884,298.0354734792324
20.0,38.16746236126832,307.4556393371923
21.0,41.321152763770776,312.8855157123597
22.0,44.54528209758705,318.01129135850823
23.0,47.83482677905444,322.83664462281786
24.0,51.18485391616973,327.36485925649185
25.0,54.590514358173614,331.59885717565237
26.0,58.04703614780822,335.5412283686155
27.0,61.54971833787015,339.1942582708147
28.0,65.09392513721558,342.5599528773013
29.0,68.68517481125377,345.6400618199371
30.0,72.31659862930127,348.43609960090106
31.0,75.97725415924174,350.9493651449304
32.0,79.66267327138316,353.180959808831
33.0,83.36843075033877,355.1318039674952
34.0,87.10451344867391,356.80265228019516
35.0,90.86195491709024,355.8398375827238
36.0,94.62777955777025,357.02051837207614
37.0,98.3976624633121,357.92140985789297
38.0,102.18744259540695,358.5427824770181
39.0,105.98127690544263,356.7685569940666
40.0,109.76733462041796,356.8955476415453
41.0,113.55321298673493,356.74215029572883
42.0,117.34293998608479,354.3559529048267
43.0,121.1130631107862,353.7032767239726
44.0,124.87266736427745,350.9144099129409
45.0,128.62599797337583,349.75822066637926
46.0,132.34785362781793,346.56073399920456
47.0,136.05828633196677,344.89645053548577
48.0,139.74264275461744,341.2841590607029
49.0,143.38777042109305,339.10687104195796
50.0,147.02136988604843,335.0733550099752
51.0,150.60376292980618,330.8447185448494
52.0,154.1614002550863,327.9164513366584
53.0,157.67175828022138,323.2564878120823
54.0,161.13976623856396,318.3962877288765
55.0,164.56437971675123,314.70281810051193
56.0,167.9331527455375,309.4007467454045
57.0,171.2581019927798,303.8931437642155
58.0,174.51788148634813,298.1782850929011
59.0,177.72902056829236,292.25443924995574
60.0,180.8698941598966,286.1198710943422
61.0,183.95283371980182,280.90383445330315
62.0,186.9647346347898,274.3054138545819
63.0,189.90482363465185,267.49086071654597
64.0,192.77753025490168,260.4584822235587
65.0,195.55983665158053,253.20661930757808
66.0,198.28297247847115,244.79110086607318
67.0,200.90803982681268,237.1338893343298
68.0,203.455297172542,229.2527891325416
69.0,205.91622920470869,221.14642201317986
70.0,208.27365259595706,212.81353184254
71.0,210.55435495803206,204.25301314375378
72.0,212.73290317128684,194.74456823819511
73.0,214.80256376592698,185.7664955006402
74.0,216.78435608288163,176.5589244014121
75.0,218.6602745150463,166.51461739048935
76.0,220.4220288234422,156.88934370275905
77.0,222.07170929511202,146.5032142109727
78.0,223.62479568823065,136.46412077784115
79.0,225.05859840961557,125.74470537607414
80.0,226.3720043737345,115.29994151453337
81.0,227.56395950936619,104.26056414183677
82.0,228.6384773400312,93.4241447331068
83.0,229.59941177879978,82.08466538259906
84.0,230.43430545391328,70.6251582152157
85.0,231.1423394570598,59.0549535989516
